epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,149,0.60276,0.93766,1,0.15935,9.98095e-05,9.98095e-05,0.0801379
2,286.838,0.36511,0.96633,1,0.12091,0.000199788,0.000199788,0.0602379
3,425.088,0.31229,0.97756,0.99875,0.09267,0.000299678,0.000299678,0.0403378
4,559.72,0.27628,0.9813,1,0.05995,0.000399415,0.000399415,0.0204375
5,697.758,0.26125,0.97257,1,0.10321,0.000498934,0.000498934,0.000537029
6,831.687,0.21647,0.98379,1,0.04977,0.000498632,0.000498632,0.000498632
7,966.497,0.20259,0.9788,1,0.06617,0.000498031,0.000498031,0.000498031
8,1114.65,0.19857,0.9813,1,0.05475,0.000497321,0.000497321,0.000497321
9,1253.5,0.16946,0.96633,1,0.10805,0.000496503,0.000496503,0.000496503
10,1389.15,0.16677,0.98005,1,0.04363,0.000495576,0.000495576,0.000495576
11,1522.1,0.14955,0.98379,1,0.04727,0.000494542,0.000494542,0.000494542
12,1657,0.13475,0.98254,1,0.047,0.000493401,0.000493401,0.000493401
13,1791.06,0.13539,0.98628,1,0.05029,0.000492154,0.000492154,0.000492154
14,1921.92,0.1323,0.98379,1,0.03484,0.0004908,0.0004908,0.0004908
15,2053.96,0.12398,0.98254,1,0.0561,0.000489341,0.000489341,0.000489341
16,2189.28,0.13329,0.98005,1,0.05623,0.000487776,0.000487776,0.000487776
17,2321.63,0.11694,0.98005,1,0.05216,0.000486108,0.000486108,0.000486108
18,2456.22,0.12032,0.98504,1,0.04781,0.000484336,0.000484336,0.000484336
19,2591.61,0.10834,0.98379,1,0.06246,0.000482462,0.000482462,0.000482462
20,2724.32,0.10592,0.98379,1,0.04223,0.000480485,0.000480485,0.000480485
21,2854.49,0.10669,0.98254,1,0.05016,0.000478408,0.000478408,0.000478408
22,2985.98,0.10789,0.98254,1,0.06054,0.000476231,0.000476231,0.000476231
23,3119.8,0.10833,0.9813,1,0.05342,0.000473954,0.000473954,0.000473954
24,3252.11,0.10411,0.9813,1,0.04101,0.000471579,0.000471579,0.000471579
25,3383.38,0.09868,0.98753,1,0.04758,0.000469108,0.000469108,0.000469108
26,3514.91,0.10149,0.98005,1,0.05094,0.00046654,0.00046654,0.00046654
27,3646.72,0.09459,0.98504,1,0.03534,0.000463877,0.000463877,0.000463877
28,3779.47,0.08265,0.98878,1,0.03789,0.000461121,0.000461121,0.000461121
29,3911.44,0.0848,0.98254,1,0.04163,0.000458272,0.000458272,0.000458272
30,4043.26,0.08745,0.99127,1,0.03425,0.000455332,0.000455332,0.000455332
31,4176.7,0.08347,0.99252,1,0.0242,0.000452302,0.000452302,0.000452302
32,4309.3,0.07739,0.98878,1,0.04754,0.000449183,0.000449183,0.000449183
33,4442.12,0.0962,0.98878,1,0.05395,0.000445977,0.000445977,0.000445977
34,4574.09,0.0763,0.99127,1,0.03372,0.000442686,0.000442686,0.000442686
35,4703.77,0.07746,0.98628,1,0.03948,0.00043931,0.00043931,0.00043931
36,4835.6,0.07034,0.99002,1,0.05533,0.00043585,0.00043585,0.00043585
37,4967.43,0.07833,0.99252,1,0.03531,0.00043231,0.00043231,0.00043231
38,5100.19,0.0678,0.98878,1,0.03421,0.00042869,0.00042869,0.00042869
39,5231.39,0.08687,0.99002,1,0.03547,0.000424991,0.000424991,0.000424991
40,5362.63,0.07729,0.98628,1,0.03866,0.000421216,0.000421216,0.000421216
41,5493.36,0.07683,0.99252,1,0.03175,0.000417365,0.000417365,0.000417365
42,5623.71,0.06441,0.99127,1,0.02757,0.000413442,0.000413442,0.000413442
43,5752.99,0.06431,0.99002,1,0.0259,0.000409447,0.000409447,0.000409447
44,5885.53,0.05988,0.99127,1,0.03254,0.000405382,0.000405382,0.000405382
45,6019.61,0.0636,0.98753,1,0.03803,0.000401249,0.000401249,0.000401249
46,6152.3,0.0625,0.99002,1,0.0407,0.000397049,0.000397049,0.000397049
47,6284.76,0.07556,0.98878,1,0.04278,0.000392786,0.000392786,0.000392786
48,6421.22,0.06953,0.98878,1,0.02796,0.00038846,0.00038846,0.00038846
49,6553.08,0.05269,0.99002,1,0.03164,0.000384073,0.000384073,0.000384073
50,6683.98,0.05857,0.98628,1,0.03903,0.000379627,0.000379627,0.000379627
51,6813.7,0.05851,0.98504,1,0.04644,0.000375125,0.000375125,0.000375125
